Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.354,0.3731658,0.441,8.72338,0.441,4.88196,0.354,3.410603,0.882,0,0.882,0.08800017,,,,,0.882,6.842929,0.354,0.1378461,1.771,23.88136,
0.356,0.444044,0.444,9.842166,0.444,5.444192,0.356,3.410557,0.889,0,0.889,0.08800017,,,,,0.888,6.850543,0.356,0.1374545,1.784,23.88116,
0.359,0.4945079,0.447,11.10537,0.447,6.048527,0.359,3.410638,0.895,0,0.895,0.08800017,,,,,0.895,6.858563,0.359,0.1377064,1.797,23.88136,
0.361,0.5369536,0.451,12.43528,0.451,6.67055,0.361,3.410669,0.902,0,0.902,0.08800017,,,,,0.901,6.866807,0.361,0.1375381,1.81,23.88118,
0.364,0.6013485,0.454,14.04337,0.454,7.392481,0.364,3.410682,0.908,0,0.908,0.08800017,,,,,0.908,6.875307,0.364,0.1379877,1.822,23.88058,
0.367,0.6672258,0.457,15.70183,0.457,8.156861,0.367,3.410693,0.915,0,0.915,0.08800017,,,,,0.914,6.883787,0.367,0.1383116,1.835,23.88022,
0.369,0.7354759,0.46,17.50769,0.46,8.959275,0.369,3.410666,0.921,0,0.921,0.08800017,,,,,0.921,6.892555,0.369,0.1381262,1.848,23.88041,
0.372,0.8210765,0.464,19.49537,0.464,9.82622,0.372,3.41062,0.927,0,0.927,0.08800017,,,,,0.927,6.901578,0.372,0.1379649,1.861,23.88174,
0.374,0.911375,0.467,21.64509,0.467,10.75933,0.374,3.410723,0.934,0,0.934,0.08800017,,,,,0.933,6.91042,0.374,0.1385397,1.874,23.88333,
0.377,1.027115,0.47,24.01138,0.47,11.7607,0.377,3.410554,0.94,0,0.94,0.08800017,,,,,0.94,6.919132,0.377,0.1382891,1.887,23.88443,
