Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.238,0.02393077,0.299,0.1088421,0.299,0.05091438,0.238,3.421069,0.596,0,0.596,0.08800017,,,,,0.595,6.904932,1.193,24.21834,
0.241,0.02117134,0.302,0.118944,0.302,0.06272073,0.241,3.420982,0.602,0,0.602,0.08800017,,,,,0.601,6.90425,1.206,24.21887,
0.243,0.0191563,0.305,0.12198,0.305,0.05450588,0.243,3.42094,0.609,0,0.609,0.08800017,,,,,0.607,6.903496,1.218,24.21988,
0.246,0.02143047,0.308,0.1344222,0.308,0.0597524,0.246,3.420885,0.615,0,0.615,0.08800017,,,,,0.614,6.902863,1.231,24.2203,
0.248,0.03401678,0.312,0.1395112,0.312,0.06304873,0.248,3.421037,0.621,0,0.621,0.08800017,,,,,0.62,6.901863,1.244,24.21993,
0.251,0.0287376,0.315,0.1591429,0.315,0.0808222,0.251,3.421086,0.628,0,0.628,0.08800017,,,,,0.627,6.900686,1.257,24.21955,
0.253,0.03743915,0.318,0.190156,0.318,0.09550805,0.253,3.421025,0.634,0,0.634,0.08800017,,,,,0.633,6.899025,1.27,24.2192,
0.256,0.02396277,0.321,0.2375441,0.321,0.1215591,0.256,3.421034,0.641,0,0.641,0.08800017,,,,,0.64,6.897165,1.283,24.21912,
0.259,0.02800904,0.324,0.2657567,0.324,0.1218612,0.259,3.420862,0.647,0,0.647,0.08800017,,,,,0.646,6.894889,1.296,24.21945,
0.261,0.02311284,0.328,0.3080906,0.328,0.1586053,0.261,3.420957,0.654,0,0.654,0.08800017,,,,,0.652,6.892422,1.308,24.22022,
0.264,0.03486272,0.331,0.3600241,0.331,0.1809804,0.264,3.420916,0.66,0,0.66,0.08800017,,,,,0.659,6.889192,1.321,24.22156,
0.266,0.04890411,0.334,0.4013095,0.334,0.2232656,0.266,3.420847,0.667,0,0.667,0.08800017,,,,,0.665,6.885615,1.334,24.22238,
0.269,0.02950189,0.337,0.4607075,0.337,0.2361595,0.269,3.420809,0.673,0,0.673,0.08800017,,,,,0.672,6.881569,1.347,24.22298,
0.271,0.02530673,0.34,0.5210572,0.34,0.275405,0.271,3.420641,0.679,0,0.679,0.08800017,,,,,0.678,6.877093,1.36,24.22358,
0.274,0.0355678,0.344,0.633509,0.344,0.3220735,0.274,3.420657,0.686,0,0.686,0.08800017,,,,,0.685,6.871765,1.373,24.22452,
0.277,0.03551545,0.347,0.7071325,0.347,0.3927998,0.277,3.420694,0.692,0,0.692,0.08800017,,,,,0.691,6.86563,1.386,24.22571,
0.279,0.04119375,0.35,0.8320737,0.35,0.4521714,0.279,3.420765,0.699,0,0.699,0.08800017,,,,,0.697,6.859148,1.398,24.22732,
0.282,0.03480053,0.353,0.9853574,0.353,0.5192886,0.282,3.420771,0.705,0,0.705,0.08800017,,,,,0.704,6.852145,1.411,24.22893,
0.284,0.0395827,0.357,1.115307,0.357,0.6162006,0.284,3.420874,0.712,0,0.712,0.08800017,,,,,0.71,6.844458,1.424,24.23055,
0.287,0.04670013,0.36,1.311088,0.36,0.7096152,0.287,3.42068,0.718,0,0.718,0.08800017,,,,,0.717,6.836385,1.437,24.23201,
0.289,0.04883023,0.363,1.553865,0.363,0.8291716,0.289,3.420543,0.724,0,0.724,0.08800017,,,,,0.723,6.82801,1.45,24.23358,
0.292,0.04746357,0.366,1.841154,0.366,0.9683151,0.292,3.420699,0.731,0,0.731,0.08800017,,,,,0.73,6.819299,1.463,24.23504,
0.295,0.05146278,0.369,2.174729,0.369,1.144006,0.295,3.420714,0.737,0,0.737,0.08800017,,,,,0.736,6.810206,1.476,24.23603,
0.297,0.06609133,0.373,2.57246,0.373,1.323556,0.297,3.420673,0.744,0,0.744,0.08800017,,,,,0.742,6.801146,1.488,24.23731,
0.3,0.06880454,0.376,2.989722,0.376,1.545867,0.3,3.420678,0.75,0,0.75,0.08800017,,,,,0.749,6.791751,1.501,24.23872,
0.302,0.07025598,0.379,3.561995,0.379,1.808657,0.302,3.420918,0.757,0,0.757,0.08800017,,,,,0.755,6.78217,1.514,24.23991,
0.305,0.07222087,0.382,4.211098,0.382,2.102127,0.305,3.420928,0.763,0,0.763,0.08800017,,,,,0.762,6.772691,1.527,24.24065,
0.307,0.08467726,0.386,4.96097,0.386,2.434943,0.307,3.420815,0.769,0,0.769,0.08800017,,,,,0.768,6.763337,1.54,24.24136,
0.31,0.1023129,0.389,5.810708,0.389,2.819156,0.31,3.420766,0.776,0,0.776,0.08800017,,,,,0.775,6.753987,1.553,24.24221,
0.313,0.1229119,0.392,6.744637,0.392,3.248863,0.313,3.420865,0.782,0,0.782,0.08800017,,,,,0.781,6.745004,1.566,24.24354,
0.315,0.1450794,0.395,7.827984,0.395,3.705216,0.315,3.420506,0.789,0,0.789,0.08800017,,,,,0.787,6.73625,1.578,24.24493,
0.318,0.1642081,0.398,8.991111,0.398,4.212353,0.318,3.420571,0.795,0,0.795,0.08800017,,,,,0.794,6.72762,1.591,24.24596,
0.32,0.1973051,0.402,10.33735,0.402,4.796968,0.32,3.420523,0.802,0,0.802,0.08800017,,,,,0.8,6.720279,1.604,24.24697,
0.323,0.2190177,0.405,11.87172,0.405,5.438547,0.323,3.420486,0.808,0,0.808,0.08800017,,,,,0.807,6.712648,1.617,24.24793,
0.325,0.2672855,0.408,13.51668,0.408,6.128277,0.325,3.420403,0.814,0,0.814,0.08800017,,,,,0.813,6.705072,1.63,24.24799,
0.328,0.3047117,0.411,15.32382,0.411,6.895083,0.328,3.420321,0.821,0,0.821,0.08800017,,,,,0.82,6.698155,1.643,24.24774,
0.331,0.3544072,0.414,17.32224,0.414,7.730136,0.331,3.42038,0.827,0,0.827,0.08800017,,,,,0.826,6.69139,1.656,24.2475,
0.333,0.4361578,0.418,19.48581,0.418,8.609814,0.333,3.420353,0.834,0,0.834,0.08800017,,,,,0.832,6.685348,1.668,24.24792,
0.336,0.478409,0.421,21.81229,0.421,9.557275,0.336,3.420232,0.84,0,0.84,0.08800017,,,,,0.839,6.679718,1.681,24.2486,
0.338,0.5348654,0.424,24.36318,0.424,10.6011,0.338,3.420274,0.847,0,0.847,0.08800017,,,,,0.845,6.674466,1.694,24.24964,
0.341,0.6214439,0.427,27.08301,0.427,11.7128,0.341,3.420575,0.853,0,0.853,0.08800017,,,,,0.852,6.669683,1.707,24.25018,
0.343,0.7176274,0.431,29.97014,0.431,12.86604,0.343,3.420586,0.859,0,0.859,0.08800017,,,,,0.858,6.665222,1.72,24.25059,
0.346,0.8179047,0.434,33.10645,0.434,14.14666,0.346,3.420373,0.866,0,0.866,0.08800017,,,,,0.865,6.661411,1.733,24.25079,
0.349,0.9480079,0.437,36.53653,0.437,15.49193,0.349,3.420377,0.872,0,0.872,0.08800017,,,,,0.871,6.657961,1.746,24.25097,
0.351,1.117399,0.44,40.27925,0.44,16.99475,0.351,3.420373,0.879,0,0.879,0.08800017,,,,,0.877,6.655073,1.759,24.25115,
0.354,1.282672,0.443,44.16834,0.443,18.58422,0.354,3.420335,0.885,0,0.885,0.08800017,,,,,0.884,6.65227,1.771,24.25126,
0.356,1.457314,0.447,48.43901,0.447,20.2652,0.356,3.420517,0.892,0,0.892,0.08800017,,,,,0.89,6.650462,1.784,24.25197,
0.359,1.659291,0.45,53.04787,0.45,22.0658,0.359,3.420468,0.898,0,0.898,0.08800017,,,,,0.897,6.648805,1.797,24.25268,
0.361,1.904032,0.453,57.89349,0.453,24.00223,0.361,3.42049,0.904,0,0.904,0.08800017,,,,,0.903,6.647639,1.81,24.25333,
0.364,2.191141,0.456,63.21289,0.456,26.13175,0.364,3.42065,0.911,0,0.911,0.08800017,,,,,0.91,6.64688,1.823,24.25416,
0.367,2.532074,0.459,69.06138,0.459,28.3984,0.367,3.420413,0.917,0,0.917,0.08800017,,,,,0.916,6.646417,1.836,24.25463,
0.369,2.868748,0.463,75.20448,0.463,30.76892,0.369,3.420475,0.924,0,0.924,0.08800017,,,,,0.922,6.646329,1.849,24.25448,
0.372,3.271805,0.466,81.87511,0.466,33.41804,0.372,3.420522,0.93,0,0.93,0.08800017,,,,,0.929,6.646559,1.861,24.255,
0.374,3.706633,0.469,89.06582,0.469,36.20431,0.374,3.420308,0.937,0,0.937,0.08800017,,,,,0.935,6.64709,1.874,24.25613,
0.377,4.247314,0.472,96.83428,0.472,39.17293,0.377,3.420285,0.943,0,0.943,0.08800017,,,,,0.942,6.647903,1.887,24.25763,
0.379,4.834515,0.476,104.9953,0.476,42.35589,0.379,3.420191,0.949,0,0.949,0.08800017,,,,,0.948,6.649141,1.9,24.25902,
0.382,5.484754,0.479,113.6989,0.479,45.76035,0.382,3.420282,0.956,0,0.956,0.08800017,,,,,0.955,6.65058,1.913,24.26056,
0.385,6.201045,0.482,123.2107,0.482,49.36617,0.385,3.420291,0.962,0,0.962,0.08800017,,,,,0.961,6.652233,1.926,24.26206,
0.387,7.015484,0.485,133.2805,0.485,53.16687,0.387,3.420347,0.969,0,0.969,0.08800017,,,,,0.967,6.654519,1.939,24.2636,
0.39,7.850658,0.488,143.7507,0.488,57.24831,0.39,3.420246,0.975,0,0.975,0.08800017,,,,,0.974,6.656674,1.951,24.26535,
0.392,8.795273,0.492,155.017,0.492,61.49598,0.392,3.420297,0.982,0,0.982,0.08800017,,,,,0.98,6.659421,1.964,24.26677,
0.395,9.814652,0.495,167.0518,0.495,66.0013,0.395,3.420343,0.988,0,0.988,0.08800017,,,,,0.987,6.661945,1.977,24.26822,
0.397,10.91915,0.498,179.4506,0.498,70.72714,0.397,3.420304,0.994,0,0.994,0.08800017,,,,,0.993,6.664951,1.99,24.26965,
0.4,12.11292,0.501,192.7464,0.501,75.81038,0.4,3.420319,1.001,0,1.001,0.08800017,,,,,1,6.667994,2.003,24.27141,
0.403,13.42119,0.504,206.533,0.504,80.96456,0.403,3.420423,1.007,0,1.007,0.08800017,,,,,1.006,6.671129,2.016,24.2734,
0.405,14.85658,0.508,220.9165,0.508,86.41734,0.405,3.420298,1.014,0,1.014,0.08800017,,,,,1.012,6.674592,2.029,24.27553,
0.408,16.34641,0.511,236.0085,0.511,92.18927,0.408,3.420203,1.02,0,1.02,0.08800017,,,,,1.019,6.678139,2.041,24.27728,
0.41,18.02262,0.514,252.0318,0.514,98.22778,0.41,3.420094,1.027,0,1.027,0.08800017,,,,,1.025,6.681587,2.054,24.27865,
0.413,19.77641,0.517,268.6487,0.517,104.3337,0.413,3.420375,1.033,0,1.033,0.08800017,,,,,1.032,6.685258,2.067,24.27991,
0.415,21.63974,0.521,285.6526,0.521,110.8187,0.415,3.420332,1.039,0,1.039,0.08800017,,,,,1.038,6.688828,2.08,24.28081,
0.418,23.59253,0.524,303.3528,0.524,117.516,0.418,3.4203,1.046,0,1.046,0.08800017,,,,,1.045,6.692495,2.093,24.28192,
0.421,25.74475,0.527,321.7951,0.527,124.2937,0.421,3.420255,1.052,0,1.052,0.08800017,,,,,1.051,6.696064,2.106,24.28273,
0.423,27.98449,0.53,340.8078,0.53,131.3011,0.423,3.42016,1.059,0,1.059,0.08800017,,,,,1.057,6.699866,2.119,24.28332,
