Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.244,0.01538488,0.305,0.07627439,0.305,0.06787853,0.244,3.422819,0.61,0,0.61,0.08800017,,,,,0.604,6.909209,0.244,0.1222794,1.211,24.06893,
0.246,0.01809387,0.308,0.0991249,0.308,0.08459327,0.246,3.422867,0.616,0,0.616,0.08800017,,,,,0.611,6.908706,0.246,0.1226769,1.224,24.0697,
0.249,0.03152071,0.311,0.1353832,0.311,0.1018359,0.249,3.422853,0.623,0,0.623,0.08800017,,,,,0.617,6.908068,0.249,0.1229531,1.237,24.07059,
0.251,0.02774222,0.315,0.1722659,0.315,0.1076388,0.251,3.422843,0.629,0,0.629,0.08800017,,,,,0.624,6.907299,0.251,0.1233042,1.25,24.0712,
0.254,0.02809244,0.318,0.1938459,0.318,0.1374122,0.254,3.422929,0.635,0,0.635,0.08800017,,,,,0.63,6.906298,0.254,0.1231931,1.263,24.07042,
0.256,0.02161994,0.321,0.2566275,0.321,0.1707678,0.256,3.422772,0.642,0,0.642,0.08800017,,,,,0.636,6.905267,0.256,0.1232248,1.275,24.06953,
0.259,0.03389473,0.324,0.3294022,0.324,0.2065295,0.259,3.422822,0.648,0,0.648,0.08800017,,,,,0.643,6.903958,0.259,0.1228773,1.288,24.06745,
0.262,0.03323875,0.328,0.3887822,0.328,0.2359254,0.262,3.422823,0.655,0,0.655,0.08800017,,,,,0.649,6.902215,0.262,0.1234131,1.301,24.06527,
0.264,0.01470559,0.331,0.4670736,0.331,0.2834243,0.264,3.422627,0.661,0,0.661,0.08800017,,,,,0.656,6.900451,0.264,0.1233958,1.314,24.06316,
0.267,0.01666838,0.334,0.5805391,0.334,0.3398151,0.267,3.422713,0.668,0,0.668,0.08800017,,,,,0.662,6.898009,0.267,0.1233828,1.327,24.06198,
0.269,0.02475911,0.337,0.7009121,0.337,0.4106611,0.269,3.422797,0.674,0,0.674,0.08800017,,,,,0.669,6.895325,0.269,0.1241901,1.34,24.06116,
