Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.197,0.07684223,0.246,0.0883163,0.246,0.06810137,0.197,3.425669,0.494,0,0.494,0.08800017,,,,,0.494,6.854336,0.986,23.56888,
0.2,0.07496177,0.249,0.0861907,0.249,0.07388335,0.2,3.425583,0.5,0,0.5,0.08800017,,,,,0.501,6.854419,0.998,23.56985,
0.202,0.06609767,0.252,0.08979575,0.252,0.07497423,0.202,3.425878,0.507,0,0.507,0.08800017,,,,,0.507,6.854625,1.011,23.57087,
0.205,0.07488307,0.256,0.09427863,0.256,0.07401656,0.205,3.425785,0.513,0,0.513,0.08800017,,,,,0.513,6.854708,1.024,23.5715,
0.208,0.06252834,0.259,0.07360616,0.259,0.0717437,0.208,3.425892,0.52,0,0.52,0.08800017,,,,,0.52,6.854848,1.037,23.57256,
0.21,0.06385858,0.262,0.07984339,0.262,0.07130715,0.21,3.42604,0.526,0,0.526,0.08800017,,,,,0.526,6.854896,1.05,23.57313,
0.213,0.07110656,0.265,0.07929569,0.265,0.06289248,0.213,3.425923,0.532,0,0.532,0.08800017,,,,,0.533,6.855052,1.063,23.5745,
0.215,0.06631485,0.269,0.08225855,0.269,0.07588405,0.215,3.425937,0.539,0,0.539,0.08800017,,,,,0.539,6.855158,1.076,23.57616,
0.218,0.07453335,0.272,0.0906539,0.272,0.0706194,0.218,3.425946,0.545,0,0.545,0.08800017,,,,,0.546,6.855285,1.089,23.57885,
0.22,0.08026104,0.275,0.08269188,0.275,0.08258504,0.22,3.425976,0.552,0,0.552,0.08800017,,,,,0.552,6.855478,1.101,23.58217,
0.223,0.08016458,0.278,0.09201361,0.278,0.06593412,0.223,3.42607,0.558,0,0.558,0.08800017,,,,,0.558,6.855552,1.114,23.58604,
0.226,0.07955559,0.281,0.09464612,0.281,0.06762339,0.226,3.425902,0.565,0,0.565,0.08800017,,,,,0.565,6.855748,1.127,23.58881,
0.228,0.08418851,0.285,0.07650172,0.285,0.08345938,0.228,3.425799,0.571,0,0.571,0.08800017,,,,,0.571,6.855728,1.14,23.59119,
0.231,0.08809207,0.288,0.08348788,0.288,0.07185892,0.231,3.425926,0.577,0,0.577,0.08800017,,,,,0.578,6.855894,1.153,23.59366,
0.233,0.08732505,0.291,0.08898766,0.291,0.07221801,0.233,3.425939,0.584,0,0.584,0.08800017,,,,,0.584,6.856085,1.166,23.59589,
0.236,0.09039222,0.294,0.0810155,0.294,0.07896435,0.236,3.425821,0.59,0,0.59,0.08800017,,,,,0.591,6.856182,1.179,23.59794,
0.238,0.07938252,0.297,0.08931523,0.297,0.08115976,0.238,3.425936,0.597,0,0.597,0.08800017,,,,,0.597,6.856188,1.191,23.59956,
0.241,0.08702752,0.301,0.1050024,0.301,0.08219183,0.241,3.425837,0.603,0,0.603,0.08800017,,,,,0.603,6.856225,1.204,23.60082,
0.244,0.08747939,0.304,0.1016144,0.304,0.08322652,0.244,3.425967,0.61,0,0.61,0.08800017,,,,,0.61,6.856403,1.217,23.60233,
0.246,0.08742303,0.307,0.08218902,0.307,0.08617079,0.246,3.425989,0.616,0,0.616,0.08800017,,,,,0.616,6.856441,1.23,23.6044,
0.249,0.08881707,0.31,0.08493437,0.31,0.08672239,0.249,3.426002,0.623,0,0.623,0.08800017,,,,,0.623,6.856562,1.243,23.60683,
0.251,0.07340982,0.314,0.09904344,0.314,0.08920594,0.251,3.425804,0.629,0,0.629,0.08800017,,,,,0.629,6.85662,1.256,23.60954,
0.254,0.0771609,0.317,0.1004432,0.317,0.09013645,0.254,3.425657,0.635,0,0.635,0.08800017,,,,,0.636,6.85672,1.269,23.61271,
0.256,0.07601796,0.32,0.09332333,0.32,0.08765785,0.256,3.425695,0.642,0,0.642,0.08800017,,,,,0.642,6.856726,1.282,23.61568,
0.259,0.0828543,0.323,0.1003474,0.323,0.08552155,0.259,3.425855,0.648,0,0.648,0.08800017,,,,,0.649,6.856684,1.294,23.61832,
0.262,0.08520028,0.326,0.1021884,0.326,0.08500665,0.262,3.425739,0.655,0,0.655,0.08800017,,,,,0.655,6.856672,1.307,23.62081,
0.264,0.08003356,0.33,0.09574259,0.33,0.1021137,0.264,3.425646,0.661,0,0.661,0.08800017,,,,,0.661,6.856391,1.32,23.62295,
0.267,0.08464432,0.333,0.08833879,0.333,0.1053885,0.267,3.425568,0.668,0,0.668,0.08800017,,,,,0.668,6.856204,1.333,23.62526,
0.269,0.08253706,0.336,0.1016018,0.336,0.09792881,0.269,3.425596,0.674,0,0.674,0.08800017,,,,,0.674,6.855724,1.346,23.62731,
0.272,0.08867634,0.339,0.1166626,0.339,0.09357348,0.272,3.425575,0.68,0,0.68,0.08800017,,,,,0.681,6.855135,1.359,23.62941,
0.274,0.08064517,0.343,0.1185016,0.343,0.1004746,0.274,3.425386,0.687,0,0.687,0.08800017,,,,,0.687,6.854209,1.372,23.63123,
0.277,0.081467,0.346,0.1401469,0.346,0.1172459,0.277,3.425308,0.693,0,0.693,0.08800017,,,,,0.694,6.852812,1.384,23.63371,
0.28,0.0804923,0.349,0.1331039,0.349,0.1089871,0.28,3.42537,0.7,0,0.7,0.08800017,,,,,0.7,6.851544,1.397,23.63626,
0.282,0.09195529,0.352,0.1385463,0.352,0.1161097,0.282,3.42538,0.706,0,0.706,0.08800017,,,,,0.706,6.84956,1.41,23.63828,
0.285,0.09094472,0.355,0.1738107,0.355,0.1358563,0.285,3.425283,0.713,0,0.713,0.08800017,,,,,0.713,6.846968,1.423,23.63977,
0.287,0.09671441,0.359,0.1787466,0.359,0.1376104,0.287,3.425209,0.719,0,0.719,0.08800017,,,,,0.719,6.844039,1.436,23.64122,
0.29,0.09531634,0.362,0.1922341,0.362,0.1451947,0.29,3.425144,0.725,0,0.725,0.08800017,,,,,0.726,6.840526,1.449,23.64337,
0.292,0.08613411,0.365,0.2183573,0.365,0.182263,0.292,3.425314,0.732,0,0.732,0.08800017,,,,,0.732,6.836305,1.462,23.64551,
0.295,0.09163323,0.368,0.2412629,0.368,0.2014011,0.295,3.425306,0.738,0,0.738,0.08800017,,,,,0.739,6.831333,1.474,23.64721,
0.298,0.08945858,0.371,0.2910473,0.371,0.2117923,0.298,3.425191,0.745,0,0.745,0.08800017,,,,,0.745,6.825957,1.487,23.64893,
0.3,0.08145153,0.375,0.3300708,0.375,0.2462533,0.3,3.425333,0.751,0,0.751,0.08800017,,,,,0.751,6.819746,1.5,23.65025,
0.303,0.08701819,0.378,0.3815368,0.378,0.2812287,0.303,3.425323,0.758,0,0.758,0.08800017,,,,,0.758,6.813109,1.513,23.65116,
0.305,0.09337889,0.381,0.4666723,0.381,0.3335239,0.305,3.42529,0.764,0,0.764,0.08800017,,,,,0.764,6.806261,1.526,23.65158,
0.308,0.1010124,0.384,0.5152242,0.384,0.3688597,0.308,3.425327,0.77,0,0.77,0.08800017,,,,,0.771,6.799041,1.539,23.65205,
0.31,0.09804754,0.388,0.6189812,0.388,0.4246983,0.31,3.425212,0.777,0,0.777,0.08800017,,,,,0.777,6.791518,1.552,23.65293,
0.313,0.1017678,0.391,0.7352826,0.391,0.4956308,0.313,3.425317,0.783,0,0.783,0.08800017,,,,,0.784,6.783779,1.565,23.65405,
0.316,0.09926076,0.394,0.8437356,0.394,0.5670032,0.316,3.425161,0.79,0,0.79,0.08800017,,,,,0.79,6.776021,1.577,23.65456,
0.318,0.09529553,0.397,1.008892,0.397,0.666925,0.318,3.4253,0.796,0,0.796,0.08800017,,,,,0.796,6.768565,1.59,23.65553,
