Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.093,0.03554646,0.117,0.0666307,0.117,0.03928984,0.093,3.305163,0.232,0.08800017,,,,,0.232,6.828712,
0.094,0.03313037,0.118,0.07103387,0.118,0.04018755,0.094,3.30514,0.234,0.08800017,,,,,0.234,6.82864,
0.095,0.02762766,0.119,0.06927174,0.119,0.03950533,0.095,3.305104,0.237,0.08800017,,,,,0.236,6.828589,
0.096,0.02617388,0.12,0.06832409,0.12,0.03202392,0.096,3.305152,0.239,0.08800017,,,,,0.239,6.828698,
0.097,0.02694755,0.121,0.06214667,0.121,0.02842297,0.097,3.30518,0.241,0.08800017,,,,,0.241,6.82884,
0.098,0.02651677,0.122,0.05883679,0.122,0.02431086,0.098,3.30529,0.243,0.08800017,,,,,0.243,6.828595,
0.098,0.02815753,0.123,0.06054125,0.123,0.02765984,0.099,3.305372,0.245,0.08800017,,,,,0.245,6.828652,
0.099,0.03479871,0.124,0.06330559,0.124,0.03514686,0.099,3.305388,0.247,0.08800017,,,,,0.247,6.828716,
0.1,0.04084516,0.125,0.05679106,0.125,0.03888601,0.1,3.305444,0.25,0.08800017,,,,,0.249,6.828779,
0.101,0.0502282,0.126,0.05018762,0.126,0.04159854,0.101,3.305451,0.252,0.08800017,,,,,0.252,6.828741,
0.102,0.05777864,0.127,0.03913511,0.127,0.03545896,0.102,3.305491,0.254,0.08800017,,,,,0.254,6.828786,
0.103,0.05943104,0.128,0.03534906,0.128,0.03291753,0.103,3.305454,0.256,0.08800017,,,,,0.256,6.828809,
0.104,0.05774206,0.13,0.04033413,0.13,0.03176724,0.104,3.305452,0.258,0.08800017,,,,,0.258,6.828754,
0.105,0.05351324,0.131,0.05241736,0.131,0.03666382,0.105,3.305412,0.26,0.08800017,,,,,0.26,6.828763,
0.105,0.04821926,0.132,0.06223133,0.132,0.03597123,0.105,3.305396,0.262,0.08800017,,,,,0.262,6.828899,
0.106,0.04566363,0.133,0.05427984,0.133,0.0314333,0.106,3.305453,0.265,0.08800017,,,,,0.265,6.828628,
0.107,0.04475701,0.134,0.04645705,0.134,0.02856484,0.107,3.305553,0.267,0.08800017,,,,,0.267,6.829138,
0.108,0.04414101,0.135,0.03849813,0.135,0.02639969,0.108,3.305603,0.269,0.08800017,,,,,0.269,6.829033,
0.109,0.04823185,0.136,0.03219864,0.136,0.02962163,0.109,3.305653,0.271,0.08800017,,,,,0.271,6.828874,
0.11,0.05222582,0.137,0.04652297,0.137,0.02901805,0.11,3.305682,0.273,0.08800017,,,,,0.273,6.828925,
0.111,0.05452249,0.138,0.05126489,0.138,0.02446468,0.111,3.305643,0.275,0.08800017,,,,,0.275,6.82893,
0.111,0.05586378,0.139,0.06089977,0.139,0.02486499,0.112,3.305624,0.278,0.08800017,,,,,0.278,6.828846,
0.112,0.05254828,0.14,0.06776161,0.14,0.02434724,0.112,3.305722,0.28,0.08800017,,,,,0.28,6.828904,
0.113,0.04973767,0.141,0.06412277,0.141,0.02824548,0.113,3.305761,0.282,0.08800017,,,,,0.282,6.829029,
0.114,0.04771593,0.143,0.0597488,0.143,0.02837492,0.114,3.305791,0.284,0.08800017,,,,,0.284,6.828945,
0.115,0.04770161,0.144,0.04884846,0.144,0.02751682,0.115,3.305815,0.286,0.08800017,,,,,0.286,6.829175,
0.116,0.04886686,0.145,0.04632622,0.145,0.02709234,0.116,3.305827,0.288,0.08800017,,,,,0.288,6.829114,
0.117,0.05088183,0.146,0.05050639,0.146,0.02592677,0.117,3.305783,0.291,0.08800017,,,,,0.291,6.829179,
0.118,0.0523741,0.147,0.06467261,0.147,0.03024521,0.118,3.305726,0.293,0.08800017,,,,,0.293,6.829052,
0.118,0.05047805,0.148,0.06910738,0.148,0.03494183,0.118,3.305745,0.295,0.08800017,,,,,0.295,6.8292,
0.119,0.05209746,0.149,0.07147375,0.149,0.04233267,0.119,3.305745,0.297,0.08800017,,,,,0.297,6.8291,
0.12,0.0515837,0.15,0.07326021,0.15,0.0408384,0.12,3.305928,0.299,0.08800017,,,,,0.299,6.829144,
0.121,0.05072768,0.151,0.06704308,0.151,0.03638691,0.121,3.306049,0.301,0.08800017,,,,,0.301,6.829175,
0.122,0.05420067,0.152,0.068452,0.152,0.0301173,0.122,3.306076,0.304,0.08800017,,,,,0.304,6.829314,
0.123,0.0544897,0.153,0.0579804,0.153,0.02737758,0.123,3.306085,0.306,0.08800017,,,,,0.306,6.829232,
0.124,0.05708672,0.154,0.06042923,0.154,0.03071882,0.124,3.306014,0.308,0.08800017,,,,,0.308,6.829154,
0.124,0.06081046,0.156,0.06098807,0.156,0.03190139,0.125,3.305968,0.31,0.08800017,,,,,0.31,6.82927,
0.125,0.05893645,0.157,0.05663859,0.157,0.03782762,0.125,3.305963,0.312,0.08800017,,,,,0.312,6.829292,
0.126,0.05571795,0.158,0.04917775,0.158,0.04081492,0.126,3.306009,0.314,0.08800017,,,,,0.314,6.829299,
0.127,0.05646087,0.159,0.03752574,0.159,0.03848032,0.127,3.306067,0.317,0.08800017,,,,,0.316,6.829327,
0.128,0.05680461,0.16,0.03890156,0.16,0.0391796,0.128,3.306112,0.319,0.08800017,,,,,0.319,6.82938,
0.129,0.05555712,0.161,0.04779046,0.161,0.03329505,0.129,3.306117,0.321,0.08800017,,,,,0.321,6.829302,
0.13,0.04977704,0.162,0.05125083,0.162,0.0388947,0.13,3.306143,0.323,0.08800017,,,,,0.323,6.829232,
0.131,0.04296259,0.163,0.04768469,0.163,0.03937868,0.131,3.306123,0.325,0.08800017,,,,,0.325,6.829422,
0.131,0.03808015,0.164,0.04871444,0.164,0.03993575,0.131,3.306103,0.327,0.08800017,,,,,0.327,6.829346,
0.132,0.03975623,0.165,0.0543852,0.165,0.03705285,0.132,3.306141,0.33,0.08800017,,,,,0.329,6.829226,
0.133,0.04802187,0.166,0.05690277,0.166,0.03136062,0.133,3.306239,0.332,0.08800017,,,,,0.332,6.829417,
0.134,0.05513525,0.167,0.05388428,0.167,0.02779993,0.134,3.306234,0.334,0.08800017,,,,,0.334,6.829529,
0.135,0.05561066,0.169,0.04190863,0.169,0.0249432,0.135,3.306207,0.336,0.08800017,,,,,0.336,6.829454,
0.136,0.0550454,0.17,0.04344466,0.17,0.02386246,0.136,3.306155,0.338,0.08800017,,,,,0.338,6.829502,
0.137,0.05240063,0.171,0.0476126,0.171,0.02731027,0.137,3.306187,0.34,0.08800017,,,,,0.34,6.829473,
0.137,0.05268314,0.172,0.05536098,0.172,0.03053066,0.138,3.306248,0.343,0.08800017,,,,,0.342,6.82946,
0.138,0.05583621,0.173,0.05918921,0.173,0.03604193,0.138,3.306226,0.345,0.08800017,,,,,0.345,6.829655,
0.139,0.05593798,0.174,0.06170681,0.174,0.04134193,0.139,3.306264,0.347,0.08800017,,,,,0.347,6.829651,
0.14,0.05791791,0.175,0.06513307,0.175,0.03921933,0.14,3.306302,0.349,0.08800017,,,,,0.349,6.829659,
0.141,0.05877212,0.176,0.06183153,0.176,0.03723115,0.141,3.306403,0.351,0.08800017,,,,,0.351,6.829619,
0.142,0.05533442,0.177,0.05971123,0.177,0.03213761,0.142,3.306457,0.353,0.08800017,,,,,0.353,6.829576,
0.143,0.0556809,0.178,0.05767816,0.178,0.03569805,0.143,3.30653,0.356,0.08800017,,,,,0.355,6.829704,
0.144,0.05839128,0.179,0.05862317,0.179,0.03735613,0.144,3.306543,0.358,0.08800017,,,,,0.358,6.829652,
0.144,0.06286721,0.18,0.06215354,0.18,0.03393018,0.144,3.306556,0.36,0.08800017,,,,,0.36,6.829634,
0.145,0.06715813,0.181,0.06332419,0.181,0.03117247,0.145,3.30666,0.362,0.08800017,,,,,0.362,6.829699,
0.146,0.06997193,0.183,0.06721658,0.183,0.03418894,0.146,3.306736,0.364,0.08800017,,,,,0.364,6.82977,
0.147,0.06755304,0.184,0.06930361,0.184,0.03932633,0.147,3.30672,0.366,0.08800017,,,,,0.366,6.829753,
0.148,0.06468776,0.185,0.06578255,0.185,0.04042834,0.148,3.306729,0.369,0.08800017,,,,,0.368,6.829725,
0.149,0.06540616,0.186,0.06535287,0.186,0.03976382,0.149,3.306771,0.371,0.08800017,,,,,0.371,6.829736,
0.15,0.06813039,0.187,0.05657287,0.187,0.04315826,0.15,3.306813,0.373,0.08800017,,,,,0.373,6.829838,
0.15,0.06922468,0.188,0.05673682,0.188,0.04788058,0.15,3.306898,0.375,0.08800017,,,,,0.375,6.829807,
0.151,0.06907807,0.189,0.05537427,0.189,0.04687869,0.151,3.306858,0.377,0.08800017,,,,,0.377,6.829812,
0.152,0.07030935,0.19,0.05353034,0.19,0.04225145,0.152,3.306917,0.379,0.08800017,,,,,0.379,6.829679,
0.153,0.07105902,0.191,0.05481803,0.191,0.03494034,0.153,3.306912,0.382,0.08800017,,,,,0.381,6.829761,
0.154,0.07049119,0.192,0.04792113,0.192,0.03444362,0.154,3.30693,0.384,0.08800017,,,,,0.384,6.829695,
0.155,0.06431343,0.193,0.04653871,0.193,0.03492974,0.155,3.306998,0.386,0.08800017,,,,,0.386,6.829736,
