Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.324,0.1417422,0.403,6.804707,0.403,3.73066,0.324,3.418649,0.805,0,0.805,0.08800017,,,,,0.806,6.769393,0.324,0.1432679,1.617,24.22859,
0.327,0.1702946,0.407,7.851916,0.407,4.22854,0.327,3.418702,0.812,0,0.812,0.08800017,,,,,0.813,6.765705,0.327,0.1436416,1.63,24.22849,
0.329,0.2046508,0.41,9.040317,0.41,4.798708,0.329,3.41875,0.818,0,0.818,0.08800017,,,,,0.819,6.763303,0.329,0.1433498,1.642,24.22888,
0.332,0.2513175,0.413,10.41175,0.413,5.417457,0.332,3.418877,0.825,0,0.825,0.08800017,,,,,0.826,6.761584,0.332,0.143784,1.655,24.22923,
0.334,0.3033614,0.416,11.93172,0.416,6.117867,0.334,3.418833,0.831,0,0.831,0.08800017,,,,,0.832,6.760159,0.334,0.14352,1.668,24.22981,
0.337,0.3554235,0.419,13.61589,0.419,6.907576,0.337,3.418659,0.837,0,0.837,0.08800017,,,,,0.839,6.759076,0.337,0.1436383,1.681,24.23036,
0.339,0.4267474,0.423,15.51038,0.423,7.757705,0.339,3.418557,0.844,0,0.844,0.08800017,,,,,0.845,6.758219,0.339,0.1440187,1.694,24.23066,
0.342,0.4984801,0.426,17.57423,0.426,8.639154,0.342,3.418591,0.85,0,0.85,0.08800017,,,,,0.851,6.758189,0.342,0.1443828,1.707,24.2304,
0.345,0.5827691,0.429,19.80085,0.429,9.627522,0.345,3.418583,0.857,0,0.857,0.08800017,,,,,0.858,6.758557,0.345,0.1442351,1.72,24.23062,
0.347,0.6982561,0.432,22.3019,0.432,10.72524,0.347,3.418737,0.863,0,0.863,0.08800017,,,,,0.864,6.759264,0.347,0.144745,1.732,24.23088,
0.35,0.8013251,0.435,25.07407,0.435,11.89103,0.35,3.418676,0.87,0,0.87,0.08800017,,,,,0.871,6.760294,0.35,0.1450229,1.745,24.2305,
0.352,0.9393963,0.439,28.06012,0.439,13.13603,0.352,3.418705,0.876,0,0.876,0.08800017,,,,,0.877,6.761564,0.352,0.1456175,1.758,24.23061,
0.355,1.070865,0.442,31.25987,0.442,14.49048,0.355,3.418576,0.882,0,0.882,0.08800017,,,,,0.884,6.763084,0.355,0.1449752,1.771,24.23106,
0.357,1.243697,0.445,34.71562,0.445,15.94872,0.357,3.418582,0.889,0,0.889,0.08800017,,,,,0.89,6.764497,0.357,0.145252,1.784,24.23007,
0.36,1.405613,0.448,38.47479,0.448,17.45445,0.36,3.418602,0.895,0,0.895,0.08800017,,,,,0.896,6.766586,0.36,0.1452754,1.797,24.22761,
0.363,1.616383,0.452,42.45797,0.452,19.09933,0.363,3.418656,0.902,0,0.902,0.08800017,,,,,0.903,6.769238,0.363,0.1453208,1.81,24.22518,
0.365,1.863806,0.455,46.83875,0.455,20.89813,0.365,3.41861,0.908,0,0.908,0.08800017,,,,,0.909,6.771794,0.365,0.1457772,1.822,24.22371,
0.368,2.121611,0.458,51.63651,0.458,22.80122,0.368,3.418696,0.915,0,0.915,0.08800017,,,,,0.916,6.774845,0.368,0.1462269,1.835,24.22253,
0.37,2.41071,0.461,56.8782,0.461,24.90978,0.37,3.418606,0.921,0,0.921,0.08800017,,,,,0.922,6.77786,0.37,0.1458768,1.848,24.22159,
0.373,2.740031,0.464,62.54414,0.464,27.20678,0.373,3.418681,0.927,0,0.927,0.08800017,,,,,0.929,6.780886,0.373,0.1460507,1.861,24.22156,
