Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
1.244,33.55734,6.172,2540.879,6.172,1237.702,2.492,14.12284,12.37,0,12.37,16.00003,12.367,0.59925,12.363,0.3104147,,,,,12.349,7.193555,1.244,0.7770349,
1.259,37.38282,6.247,2546.612,6.247,1244.223,2.522,14.1153,12.521,0,12.521,16.00003,12.517,0.5977567,12.513,0.3105803,,,,,12.499,7.193626,1.259,0.7781438,
1.274,42.58971,6.322,2552.135,6.322,1250.339,2.552,14.10806,12.671,0,12.671,16.00003,12.667,0.5960028,12.664,0.3104153,,,,,12.65,7.193633,1.274,0.7787363,
1.289,52.49534,6.397,2556.267,6.397,1255.563,2.582,14.10194,12.821,0,12.821,16.00003,12.818,0.5967457,12.814,0.3092664,,,,,12.8,7.193627,1.289,0.7793062,
1.304,65.75739,6.472,2560.117,6.472,1260.591,2.612,14.09612,12.972,0,12.972,16.00003,12.968,0.5969934,12.965,0.3090695,,,,,12.95,7.193597,1.304,0.7798601,
1.319,79.21346,6.547,2563.28,6.547,1265.143,2.642,14.09074,13.122,0,13.122,16.00003,13.119,0.5962298,13.115,0.3098952,,,,,13.101,7.193593,1.319,0.7807445,
1.334,92.71402,6.622,2566.167,6.622,1269.268,2.672,14.08587,13.273,22.98349,13.273,16.00267,13.269,0.5955499,13.265,0.3103284,,,,,13.251,7.19364,1.334,0.7817186,
1.349,106.0696,6.697,2568.794,6.697,1272.994,2.702,14.08129,13.423,79.46575,13.423,16.00914,13.419,0.5949361,13.416,0.3106036,,,,,13.401,7.193705,1.349,0.782776,
1.364,119.4655,6.773,2571.141,6.773,1276.043,2.732,14.07712,13.574,100,13.574,16.00737,13.57,0.5944318,13.566,0.3096099,,,,,13.552,7.193785,1.364,0.7837427,
1.379,132.9871,6.848,2573.393,6.848,1278.863,2.762,14.0731,13.724,100,13.724,16.00089,13.72,0.5939637,13.717,0.3087272,,,,,13.702,7.193813,1.379,0.7844388,
1.394,146.3908,6.923,2575.098,6.923,1281.377,2.792,14.06977,13.874,100,13.874,16.00003,13.871,0.5938305,13.867,0.3087541,,,,,13.852,7.193826,1.394,0.7850336,
1.409,159.6695,6.998,2577.118,6.998,1284.362,2.822,14.06653,14.025,100,14.025,16.00003,14.021,0.5941913,14.017,0.3089811,,,,,14.003,7.193784,1.409,0.7855235,
1.424,173.1082,7.073,2581.846,7.073,1291.175,2.852,14.0635,14.175,100,14.175,16.00003,14.172,0.5960165,14.168,0.3095039,,,,,14.153,7.193743,1.424,0.7856196,
1.439,186.6166,7.148,2584.115,7.148,1294.176,2.882,14.06074,14.326,100,14.326,16.00003,14.322,0.596158,14.318,0.3096812,,,,,14.303,7.19371,1.439,0.7855479,
1.454,199.9909,7.223,2584.981,7.223,1295.106,2.912,14.05822,14.476,100,14.476,16.00003,14.472,0.5944926,14.469,0.3096584,,,,,14.454,7.193709,1.454,0.7870132,
1.469,215.5394,7.298,2585.583,7.298,1295.898,2.942,14.05604,14.627,100,14.627,16.00003,14.623,0.595145,14.619,0.3087415,,,,,14.604,7.193743,1.469,0.7883909,
1.484,242.3983,7.373,2586.125,7.373,1296.629,2.972,14.05396,14.777,100,14.777,16.00003,14.773,0.5967298,14.769,0.3077523,,,,,14.754,7.193738,1.484,0.7888101,
1.499,269.0943,7.449,2586.462,7.449,1297.104,3.002,14.05201,14.927,100,14.927,16.00003,14.924,0.5944502,14.92,0.307423,,,,,14.904,7.193715,1.499,0.7894179,
1.514,295.5485,7.524,2586.632,7.524,1297.4,3.032,14.05011,15.078,100,15.078,16.00003,15.074,0.5924577,15.07,0.3071437,,,,,15.055,7.192685,1.514,0.7903098,
