Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.263,0.3427651,0.328,8.026633,0.263,3.321227,0.655,0,0.655,0.08800017,,,,,0.655,6.705011,
0.265,0.4492293,0.33,8.78427,0.265,3.321131,0.66,0,0.66,0.08800017,,,,,0.661,6.696127,
0.267,0.5656143,0.333,9.645686,0.267,3.321214,0.666,0,0.666,0.08800017,,,,,0.666,6.687396,
0.269,0.6829675,0.335,10.54188,0.269,3.321049,0.671,0,0.671,0.08800017,,,,,0.671,6.678661,
0.271,0.8206235,0.338,11.52963,0.271,3.321054,0.676,0,0.676,0.08800017,,,,,0.676,6.669756,
0.273,0.9737132,0.341,12.52689,0.273,3.32107,0.681,0,0.681,0.08800017,,,,,0.681,6.661067,
0.275,1.151323,0.343,13.62319,0.275,3.32129,0.686,0,0.686,0.08800017,,,,,0.686,6.652255,
0.278,1.375119,0.346,14.84617,0.278,3.321196,0.691,0,0.691,0.08800017,,,,,0.691,6.64386,
0.28,1.60345,0.348,16.18743,0.28,3.321056,0.696,0,0.696,0.08800017,,,,,0.696,6.63569,
0.282,1.87581,0.351,17.55842,0.282,3.321004,0.701,0,0.701,0.08800017,,,,,0.701,6.627899,
0.284,2.185302,0.353,19.11364,0.284,3.321066,0.707,0,0.707,0.08800017,,,,,0.707,6.620117,
0.286,2.500727,0.356,20.78859,0.286,3.320983,0.712,0,0.712,0.08800017,,,,,0.712,6.612802,
0.288,2.864461,0.359,22.56755,0.288,3.321094,0.717,0,0.717,0.08800017,,,,,0.717,6.605578,
0.29,3.27226,0.361,24.49202,0.29,3.320976,0.722,0,0.722,0.08800017,,,,,0.722,6.598546,
0.292,3.73334,0.364,26.60156,0.292,3.320926,0.727,0,0.727,0.08800017,,,,,0.727,6.591517,
0.294,4.236761,0.366,28.82897,0.294,3.320812,0.732,0,0.732,0.08800017,,,,,0.732,6.585063,
0.296,4.78231,0.369,31.25175,0.296,3.320859,0.737,0,0.737,0.08800017,,,,,0.737,6.578496,
